Fac Id,Region,Name,Address 1,Address 2,City,Zip 5,County,Fac Type,Ceds Fac Id,State
3022032,NVRO,BOLLING BROOK TOWERS CONDOS,4520 King St,,Alexandria,22304,Alexandria City,UNKNOWN,2.00E+11,VA
3014861,NVRO,BOSTON GENERAL STORE,6276 Sperryville Pike,,Boston,22713,Culpeper County,GAS STATION,2.00E+11,VA
3005686,NVRO,GERALD W. BOTKIN,9423 S Main St,,Manassas,22110,Manassas City,COMMERCIAL,2.00E+11,VA
2042344,BRROR,Kroger Fuel Center R-208,3635 Peters Creek Rd,,Roanoke,24019,Roanoke County,GAS STATION,2.00E+11,VA
3019951,NVRO,Bowden Paul Mrs,8457 Oaks Rd,,Warrenton,20186,Fauquier County,UNKNOWN,2.00E+11,VA
3015160,NVRO,BP SERVICE STATION NO 1413,8124 Sudley Rd,,Manassas,22110,Manassas City,GAS STATION,2.00E+11,VA
3015161,NVRO,BP #1414,1401 Chain Bridge Rd,,McLean,22101,Fairfax County,UNKNOWN,2.00E+11,VA
3007233,NVRO,BOYD DANIEL P,20616 Shelburne Glebe Rd,,Purcellville,20132,Loudoun County,UNKNOWN,2.00E+11,VA
3015154,NVRO,Boyd William E,5701 Vine St,,Alexandria,22310,Fairfax County,UNKNOWN,2.00E+11,VA
3023858,NVRO,BRADDOCK ELEMENTARY,7825 Heritage Dr,,Annandale,22003,Fairfax County,LOCAL,2.00E+11,VA
3015167,NVRO,B P SERV STATION NO 7464,8000 Richmond Hwy,,Alexandria,22306,Fairfax County,GAS STATION,2.00E+11,VA
3015191,NVRO,B P SERVICE STATION NO 7643,Leesburg Pike and Route 193,,Dranesville,22070,Fairfax County,GAS STATION,2.00E+11,VA
3024559,NVRO,OLD BP STATION,6436 Arlington Blvd,,Falls Church,22042,Fairfax County,GAS STATION,2.00E+11,VA
3013269,NVRO,Orange Service Center,146 Byrd St,,Orange,22960,Orange County,GAS STATION,2.00E+11,VA
3008990,NVRO,BRANDY VOL FIRE DEPT,19601 Church Rd,,Brandy Station,22714,Culpeper County,UNKNOWN,2.00E+11,VA
3024689,NVRO,BRADDOCK LEE APARTMENTS,2411 Menokin Dr,,Alexandria,22302,Alexandria City,UNKNOWN,2.00E+11,VA
3000704,NVRO,BRADDOCK ROAD BOOSTER STATION,4441 Braddock Rd,,Alexandria,22314,Alexandria City,UTILITY,2.00E+11,VA
3015756,NVRO,BRADDOCK ROAD SERVICE CENTER,401 E Braddock Rd,,Alexandria,22313,Alexandria City,LOCAL,2.00E+11,VA
3019939,NVRO,MARSHALL AUTO & TRUCK CENTER,8406 W Main St,,Marshall,20115,Fauquier County,GAS STATION,2.00E+11,VA
3011716,NVRO,SULLIVANS BP STATION,1301 Princess Anne St,,Fredericksburg,22401,Fredericksburg City,GAS STATION,2.00E+11,VA
3014116,NVRO,Upperville Citgo - Dealer 27422,8589 John Mosby Hwy,,Upperville,20184,Loudoun County,GAS STATION,2.00E+11,VA
3031038,NVRO,Branscome Paving Company - Manassas,7812 Bethlehem Rd,,Manassas,20109,Prince William County,COMMERCIAL,2.00E+11,VA
3025700,NVRO,BREN MAR PARK ELEMENTARY SCHOOL,6344 Beryl Rd,,Alexandria,22312,Fairfax County,LOCAL,2.00E+11,VA
3005140,NVRO,BRADDOCK SUPPLY CORP,43695 John Mosby Hwy,,Chantilly,22032,Fairfax County,COMMERCIAL,2.00E+11,VA
3000090,NVRO,BRALLEY-WILLETT TANK LINES INC,2400 Landsdowne Valley Rd,,Fredericksburg,22401,Fredericksburg City,COMMERCIAL,2.00E+11,VA
3030864,NVRO,Branch Highways Inc,10132 Burke Lake Rd,,Fairfax,22015,Fairfax County,CONTRACTOR,2.00E+11,VA
3020193,NVRO,British Airways Terminal,Gate D30 Midfield Bldg 1 Dulles Intl Airport,Washington Dulles International Airport,Chantilly,22053,Fairfax County,AIRLINE,2.00E+11,VA
3024381,NVRO,Brentsville High School,12109 Aden Rd,,Nokesville,22123,Prince William County,LOCAL,2.00E+11,VA
3000486,NVRO,Bridge End Center,11161 Berlin Tpke,,Lovettsville,20180,Loudoun County,GAS STATION,2.00E+11,VA
3024621,NVRO,BRIGHT WELL,Route 622,,Radiant,22732,Madison County,UNKNOWN,2.00E+11,VA
3025792,NVRO,BROCK ROAD ELEMENTARY SCHOOL,10207 Brock Rd,,Spotsylvania,22553,Spotsylvania County,LOCAL,2.00E+11,VA
3013171,NVRO,BROOKE POINT HIGH SCHOOL,1700 Courthouse Rd,,Stafford,22554,Stafford County,LOCAL,2.00E+11,VA
3003307,NVRO,Brooke - VOR,Rte 604,,Stafford,22554,Stafford County,FEDERAL NON-MILITARY,2.00E+11,VA
3009080,NVRO,BROAD FALLS APTS,809 W Broad St,,Falls Church,22046,Falls Church City,UNKNOWN,2.00E+11,VA
3014102,NVRO,BROAD RUN GROCERY,,,Broad Run,22014,Fauquier County,GAS STATION,2.00E+11,VA
3008372,NVRO,Broad Run High School Motor Fueling Station,21670 Ashburn Rd,,Ashburn,22011,Loudoun County,LOCAL,2.00E+11,VA
3003840,NVRO,Brittle Jr Clay T,4176 Belvoir Rd,,Marshall,20115,Fauquier County,GAS STATION,2.00E+11,VA
3008725,NVRO,Brightwood General Store,211 Ridgeview Rd,,Brightwood,22715,Madison County,GAS STATION,2.00E+11,VA
3001601,NVRO,BROWNS ALEXANDRIA MOTORS INC,1646 King St,,Alexandria,22314,Alexandria City,AUTO DEALER,2.00E+11,VA
3005149,NVRO,THE BROWNE ACADEMY,5917 Telegraph Rd,,Alexandria,22310,Fairfax County,COMMERCIAL,2.00E+11,VA
3020929,NVRO,BROWN LINCOLN & MERCURY INC,10287 Lee Hwy aka 10287 Fairfax Blvd,,Fairfax,22030,Fairfax City,AUTO DEALER,2.00E+11,VA
3002673,NVRO,BROWNS TYSON CORNER DODGE & PUMP STATION,8606 Leesburg Pike,,Vienna,22180,Fairfax County,AUTO DEALER,2.00E+11,VA
3003604,NVRO,BROWNS ARLINGTON HONDA,3910 Lee Hwy,,Arlington,22207,Arlington County,AUTO DEALER,2.00E+11,VA
3002464,NVRO,BROWNS ARLINGTON PONTIAC NISSAN,3200 Columbia Pike,,Arlington,22204,Arlington County,AUTO DEALER,2.00E+11,VA
3022734,NVRO,BROWNS BUICK & ISUZU,10245 Lee Hwy,,Fairfax,22030,Fairfax County,AUTO DEALER,2.00E+11,VA
3019906,NVRO,BROWNING EQUIPMENT INC,800 E Main St,,Purcellville,22132,Loudoun County,COMMERCIAL,2.00E+11,VA
3013177,NVRO,Buddy Berry Excavating,14 Campground Ln,,Madison,22727,Madison County,COMMERCIAL,2.00E+11,VA
3010562,NVRO,BURGESS AUTO SALES,215 12th St,,Dahlgren,22448,King George County,AUTO DEALER,2.00E+11,VA
3009152,NVRO,BUILDING,5600 Columbia Pk,,Fairfax,22046,Falls Church City,COMMERCIAL,2.00E+11,VA
3025652,NVRO,"Oakville Industrial Park - Bldg 5 Tank 1,2,3",2604 Jefferson Davis Hwy Bldg 5,,Alexandria,22301,Alexandria City,UNKNOWN,2.00E+11,VA
3000828,NVRO,Tysons Tree Service,2813A Juniper St,,Fairfax,22031,Fairfax County,COMMERCIAL,2.00E+11,VA
3021290,NVRO,BRYANT BILLY RAY,7219 Signal Hill Rd,,Manassas,22111,Manassas City,UNKNOWN,2.00E+11,VA
3025229,NVRO,BUBBAS AUTO SERVICE,2820 Mary St,,Fairfax,22042,Fairfax County,GAS STATION,2.00E+11,VA
3024589,NVRO,COL BROYLES RESIDENCE,2125 Rampart Dr,,Alexandria,22308,Fairfax County,RESIDENTIAL,2.00E+11,VA
3010549,NVRO,Former S.M. Bruce Svc Station / General Store,3284 Leon Rd,,Culpeper,22701,Madison County,GAS STATION,2.00E+11,VA
3000093,NVRO,BROWNS FAIRFAX MAZDA,10570 Fairfax Blvd,,Fairfax,22030,Fairfax City,AUTO DEALER,2.00E+11,VA
3003799,NVRO,BUCKLAND FARM INC,8230 Buckland Mill Rd,,Gainesville,22065,Prince William County,FARM,2.00E+11,VA
3005152,NVRO,BUCHANAN & KIGUEL,125 E Main St,,Orange,22960,Orange County,COMMERCIAL,2.00E+11,VA
3025641,NVRO,BUCKINGHAM VILLAGE,321 N George Mason Dr,,Arlington,22203,Arlington County,UNKNOWN,2.00E+11,VA
3023878,NVRO,BRYANT CENTER,2709 Popkins Ln,,Alexandria,22306,Fairfax County,LOCAL,2.00E+11,VA
3023833,NVRO,BUCKNELL ELEMENTARY,6925 University Dr,,Alexandria,22307,Fairfax County,LOCAL,2.00E+11,VA
3009190,NVRO,FENTON A BUDD,6223 Richmond Hwy,,Alexandria,22303,Fairfax County,UNKNOWN,2.00E+11,VA
3013818,NVRO,BULL RUN REGIONAL PARK,7700 Bull Run Dr,,Centreville,22020,Fairfax County,LOCAL,2.00E+11,VA
3003217,NVRO,Bull Run Plant,27672 Gum Spring Rd,,Chantilly,20152,Loudoun County,INDUSTRIAL,2.00E+11,VA
3014077,NVRO,BUDDYS SUPERETTE,Route 607,,Douge,22451,King George County,GAS STATION,2.00E+11,VA
3024465,NVRO,BUDDYS USED CARS,1001 Warrenton Rd,,Falmouth,22406,Stafford County,AUTO DEALER,2.00E+11,VA
3008975,NVRO,BURKES GROCERY,4668 Sperryville Rd,,Woodville,22749,Rappahannock County,GAS STATION,2.00E+11,VA
3026052,NVRO,"BURGUNDY FARM COUNTRY DAY SCHOOL, INC",3700 Burgundy Rd,,Alexandria,22303,Fairfax County,COMMERCIAL,2.00E+11,VA
3025226,NVRO,BURKE ELEMENTARY SCHOOL,9645 Burke Lake Rd,,Burke,22015,Fairfax County,LOCAL,2.00E+11,VA
3013772,NVRO,BURTONS AUTOMOTIVE SERVICE,1443 Warrenton Rd,,Fredericksburg,22406,Stafford County,GAS STATION,2.00E+11,VA
3020689,NVRO,BURWELL VACANT STORE,Routes 15 and 614,,Locust Dale,22948,Madison County,UNKNOWN,2.00E+11,VA
3023835,NVRO,BUSH HILL ELEMENTARY,5927 Westchester St,,Alexandria,22310,Fairfax County,LOCAL,2.00E+11,VA
3023832,NVRO,BURKEHOLDER CENTER,10700 Page Ave,,Fairfax,22032,Fairfax County,LOCAL,2.00E+11,VA
3001605,NVRO,Burton & Robinson Inc,3910 Pickett Rd,,Fairfax,22031,Fairfax City,INDUSTRIAL,2.00E+11,VA
3026249,NVRO,BURTON & ROBINSON Incorporated,9110 Owens Dr,,Manassas Park,22111,Manassas Park City,INDUSTRIAL,2.00E+11,VA
3005334,NVRO,BURKE FIRE STATION CO 14,9501 Burke Lake Rd,,Burke,22015,Fairfax County,LOCAL,2.00E+11,VA
3016389,NVRO,BURKE LAKE PARK,7315 Ox Rd,,Fairfax Station,22039,Fairfax County,LOCAL,2.00E+11,VA
3026024,NVRO,BYRAMS IMPORT REPAIRS,209 Byrd St,,Orange,22960,Orange County,COMMERCIAL,2.00E+11,VA
3002982,NVRO,BUSHROD DISPOSAL SERVICE INC,Route 628,,King George,22485,King George County,COMMERCIAL,2.00E+11,VA
3020799,NVRO,BUTLER AVIATION,Ronald Reagan Washington National Airport,,Arlington,22202,Arlington County,FEDERAL NON-MILITARY,2.00E+11,VA
3015377,NVRO,Butts Grocery,10975 Harpers Ferry Rd,,Purcellville,20132,Loudoun County,GAS STATION,2.00E+11,VA
3011709,NVRO,BUTZNER CONSTRUCTION COMPANY,4801 Ewell Rd,,Fredericksburg,22401,Fredericksburg City,CONTRACTOR,2.00E+11,VA
3023584,NVRO,C&C RENTALS; INC,13320 Lovers Ln,,Culpeper,22701,Culpeper County,COMMERCIAL,2.00E+11,VA
3001998,NVRO,C&J COUNTRY STORE,Route 1 Box 289,,King George,22485,King George County,GAS STATION,2.00E+11,VA
3012654,NVRO,Possum Point Power Station,19000 Possum Point Rd,,Dumfries,22026,Prince William County,UTILITY,2.00E+11,VA
3013775,NVRO,CLAYBORN C. BECK & SON LUMBER,4802 Jefferson Davis Hwy,,Fredericksburg,22401,Spotsylvania County,COMMERCIAL,2.00E+11,VA
3010749,NVRO,C&P TELEPHONE,8 Marshall St,,Middleburg,22217,Fauquier County,UTILITY,2.00E+11,VA
3005854,NVRO,C.J. COAKLEY,7732 Lee Hwy,,Fairfax,22042,Fairfax County,COMMERCIAL,2.00E+11,VA
3007334,NVRO,"C&E AUTO SERVICE, INC",13303 Occoquan Rd,,Woodbridge,22191,Prince William County,COMMERCIAL,2.00E+11,VA
3003043,NVRO,C R  BUTLER Incorporated,220 Byrd St,,Orange,22960,Orange County,COMMERCIAL,2.00E+11,VA
3013283,NVRO,C.R. BUTLER; INC,220 Byrd St,,Orange,22960,Orange County,COMMERCIAL,2.00E+11,VA
3010554,NVRO,B-N-B Grab & Go,16584 Tomahawk Creek Rd,,Orange,22960,Orange County,GAS STATION,2.00E+11,VA
3003920,NVRO,C W FIELDS & SONS INC,3533 Columbia Pike,,Arlington,22204,Arlington County,COMMERCIAL,2.00E+11,VA
3005196,NVRO,C-C LUMBER INC,25162 Germanna Hwy,,Lignum,22726,Culpeper County,COMMERCIAL,2.00E+11,VA
3004565,NVRO,"C. COSBY CLUFF, INC",276 Byrd St,,Orange,22960,Orange County,COMMERCIAL,2.00E+11,VA
3014104,NVRO,CALVERTON MARKET,,,Calverton,22016,Fauquier County,GAS STATION,2.00E+11,VA
3024574,NVRO,CALVERTON WELL CONTAMINATION,,,Calverton,22016,Fauquier County,RESIDENTIAL,2.00E+11,VA
3008992,NVRO,Calvin Fields,24480 Germanna Hwy,,Lignum,22726,Culpeper County,UNKNOWN,2.00E+11,VA
3023855,NVRO,CAMELOT ELEMENTARY SCHOOL,8100 Guinevere Dr,,Annandale,22003,Fairfax County,LOCAL,2.00E+11,VA
3005161,NVRO,CALVARY CHURCH OF THE NAZARENE,5900 Wilson Blvd,,Arlington,22205,Arlington County,UNKNOWN,2.00E+11,VA
3008606,NVRO,CALVERT APARTMENTS,3110 Mount Vernon Ave,,Alexandria,22305,Alexandria City,RESIDENTIAL,2.00E+11,VA
3004533,NVRO,CALVERT MOTORS INC,2790 S Arlington Mill Dr,,Arlington,22206,Arlington County,AUTO DEALER,2.00E+11,VA
3006295,NVRO,CAMP HAPPYLAND,21457 Happyland Dr,,Richardsville,22736,Culpeper County,UNKNOWN,2.00E+11,VA
3024599,NVRO,"CAMERON STATION, BLDG 17",170 Cameron Station Blvd,,Alexandria,22304,Alexandria City,FEDERAL MILITARY,2.00E+11,VA
3021855,NVRO,CAMELOT HALL NURSING HOME,3710 Lee Hwy,,Arlington,22207,Arlington County,UNKNOWN,2.00E+11,VA
3000705,NVRO,CAMERON DISTRIBUTION CENTER,Mill Rd and Roberts Ln,,Alexandria,22314,Alexandria City,COMMERCIAL,2.00E+11,VA
3023886,NVRO,CAMERON ELEMENTARY,3434 Campbell Dr,,Alexandria,22303,Fairfax County,LOCAL,2.00E+11,VA
3006703,NVRO,CAMPBELL BROTHERS,17756 Colonial Porte Rd,,Dumfries,22026,Prince William County,COMMERCIAL,2.00E+11,VA
3009665,NVRO,New Thornburg Citgo,5124 Mudd Tavern Rd,,Thornburg,22565,Spotsylvania County,GAS STATION,2.00E+11,VA
3009113,NVRO,Verizon Services Corporation 74BXZ,1880 Campus Commons Dr,,Reston,22090,Fairfax County,UTILITY,2.00E+11,VA
3037660,NVRO,Captain John S Beach Marina LLLP,10729 Old Colchester Rd,,Lorton,22190,Fairfax County,GAS STATION,2.00E+11,VA
3023541,NVRO,CAPTAIN PELLS CRAB HOUSE,8815 Lee Hwy,,Fairfax,22033,Fairfax County,COMMERCIAL,2.00E+11,VA
3007258,NVRO,CANNON SEAFOOD OF VA INC,762A Walker Rd,,Great Falls,22066,Fairfax County,COMMERCIAL,2.00E+11,VA
3015392,NVRO,CANTERBURY SQUARE CONDOMINIUM,5201 Duke St,,Alexandria,22304,Alexandria City,RESIDENTIAL,2.00E+11,VA
3022234,NVRO,CARDINAL CONCRETE CO,50 Florida Rock Dr,,Stafford,22554,Stafford County,COMMERCIAL,2.00E+11,VA
3009416,NVRO,THE CAR DOCTOR,4219 Germanna Hwy,,Locust Grove,22508,Orange County,COMMERCIAL,2.00E+11,VA
3010982,NVRO,MARYLAND AUTOMOTIVE / CAP CITY,616 E Market St,,Leesburg,22075,Loudoun County,GAS STATION,2.00E+11,VA
3009114,NVRO,CAPITAL CAR CARE INC,7978 Forbes Pl,,Springfield,22151,Fairfax County,COMMERCIAL,2.00E+11,VA
3021768,NVRO,CAPITOL BOILER WORKS,2805 Old Lee Hwy,,Fairfax,22031,Fairfax County,GAS STATION,2.00E+11,VA
3023825,NVRO,CARDINAL FOREST ELEMENTARY,8600 Forrester Blvd,,Springfield,22152,Fairfax County,LOCAL,2.00E+11,VA
3003225,NVRO,CARDINAL HOUSE CONDO,3000 Spout Run Pkwy,,Arlington,22201,Arlington County,RESIDENTIAL,2.00E+11,VA
3024682,NVRO,CAREY WINSTON CO,5150 Eisenhower Ave,,Alexandria,22304,Alexandria City,COMMERCIAL,2.00E+11,VA
3000362,NVRO,Virginia Concrete Company - Lorton Shop,8115 Mims St,,Lorton,22079,Fairfax County,INDUSTRIAL,2.00E+11,VA
3042572,NVRO,Virginia Concrete Company Inc - Centreville,15717 Lee Hwy,,Centreville,22020,Fairfax County,INDUSTRIAL,2.00E+11,VA
3000227,NVRO,RAINWATER CONCRETE COMPANY,9917 Richmond Hwy,,Lorton,22079,Fairfax County,COMMERCIAL,2.00E+11,VA
3008608,NVRO,CARLYN PLACE CONDO UNIT OWNERS,4390 Lorcum Ln,,Arlington,22207,Arlington County,RESIDENTIAL,2.00E+11,VA
3037303,NVRO,Carmax 7132,45210 Towlern Pl,,Sterling,20166,Loudoun County,AUTO DEALER,2.00E+11,VA
3023560,NVRO,Carmel Church Quarry,26470 Jefferson Davis Hwy,,Ruther Glen,22546,Caroline County,INDUSTRIAL,2.00E+11,VA
3009162,NVRO,Carmel Feed and Grain,Route 1 and 207,,Carmel Church,22514,Caroline County,COMMERCIAL,2.00E+11,VA
3006256,NVRO,CAREY WINSTON COMPANY,8200 Greensboro Dr,,McLean,22102,Fairfax County,COMMERCIAL,2.00E+11,VA
3000364,NVRO,CARGILL INC,1900 Industry Dr,,Culpeper,22701,Culpeper County,COMMERCIAL,2.00E+11,VA
3024444,NVRO,SANDBURG INTERMEDIATE SCHOOL,8428 Fort Hunt Rd,,Alexandria,22308,Fairfax County,LOCAL,2.00E+11,VA
3005186,NVRO,Loudoun County Schools Valley Service Center,38159 Colonial Hwy,,Hamilton,20105,Loudoun County,LOCAL,2.00E+11,VA
3009146,NVRO,CAROLINE COUNTRY CORNER STORE,26511 Signboard Rd,,Ruther Glen,22546,Caroline County,UNKNOWN,2.00E+11,VA
3013117,NVRO,CAROLINE COUNTY JAIL & COURTHOUSE,107 County St,,Bowling Green,22427,Caroline County,LOCAL,2.00E+11,VA
3012897,NVRO,CAROLINE FERTILIZER SUPPLY,17434 Gravatt Rd,,Milford,22514,Caroline County,COMMERCIAL,2.00E+11,VA
3012895,NVRO,CAROLINE HIGH SCHOOL,19155 Rogers Clark Blvd,,Milford,22514,Caroline County,LOCAL,2.00E+11,VA
3017628,NVRO,CAROLINE MARKET,Route 2 Box 84X,,Ruther Glen,22546,Caroline County,GAS STATION,2.00E+11,VA
3009424,NVRO,CARTER LAKE APARTMENTS,11019 Beacontree Lake Dr,,Reston,22090,Fairfax County,UNKNOWN,2.00E+11,VA
3019942,NVRO,CARTERS STORE,Rte 647,,Marshall,22115,Fauquier County,GAS STATION,2.00E+11,VA
3025250,NVRO,ANTHONY CARUSO,3723 Old Lee Hwy,,Fairfax,22030,Fairfax City,UNKNOWN,2.00E+11,VA
3016400,NVRO,Meineke Muffler,580 S Washington St,,Falls Church,22046,Falls Church City,COMMERCIAL,2.00E+11,VA
3003001,NVRO,CAROONS GOODYEAR,422 Jefferson Davis Hwy,,Fredericksburg,22401,Fredericksburg City,COMMERCIAL,2.00E+11,VA
3012898,NVRO,CARPENTER MICHAEL,Route 5 Box 481,,Locust Dale,22948,Madison County,UNKNOWN,2.00E+11,VA
3013922,NVRO,Carpenters Seed Cleaning,23527 Rapidan Rd,,Mitchells,22729,Culpeper County,COMMERCIAL,2.00E+11,VA
3004540,NVRO,CASSIDY BROTHERS FARM,1350 E Market St,,Leesburg,22075,Fairfax County,FARM,2.00E+11,VA
3015430,NVRO,CAT-TRACK EXCAVATING,6557 Commerce Ct,,Warrenton,20187,Fauquier County,COMMERCIAL,2.00E+11,VA
3004541,NVRO,CATALANO CARRIER CORP,11642 Blue Ridge Ln,,Great Falls,22066,Fairfax County,COMMERCIAL,2.00E+11,VA
3025901,NVRO,CATERAIR INTERNATIONAL #059,Dulles International Airport,,Chantilly,22021,Fairfax County,AIRLINE,2.00E+11,VA
3023856,NVRO,CATERBURY WOODS ELEMENTARY,4910 Willet Dr,,Annandale,22003,Fairfax County,LOCAL,2.00E+11,VA
3003300,NVRO,Casanova - VOR,,,Casanova,22017,Fauquier County,FEDERAL NON-MILITARY,2.00E+11,VA
3034135,NVRO,Cascade at Landmark Apartments,300 Yoakum Pkwy,,Alexandria,22304,Alexandria City,RESIDENTIAL,2.00E+11,VA
3023562,NVRO,FORMERLY-CASE MOTOR CO,120 W Main St,,Purcellville,22132,Loudoun County,AUTO DEALER,2.00E+11,VA
3026828,NVRO,C C TAYLOR,7203 Gulf Hill Ct,,Alexandria,22315,Fairfax County,RESIDENTIAL,2.00E+11,VA
3038231,NVRO,New Baltimore Shell,5021 Lee Hwy,,New Baltimore,20187,Fauquier County,GAS STATION,2.00E+11,VA
3023398,NVRO,CATTAIL BRANCH PUMPING STATION,18476 California Rd NE,,Leesburg,22075,Loudoun County,LOCAL,2.00E+11,VA
3019251,NVRO,CATTAIL BRANCH PUMPING STATION,Cherry Ln,,Leesburg,22075,Loudoun County,LOCAL,2.00E+11,VA
3004424,NVRO,VA Beef CATTLE DIVISION,9471 Maidstone Rd,,Delaplane,22025,Fauquier County,FARM,2.00E+11,VA
3019946,NVRO,Catlett Volunteer Fire Department,3243 Old Catlett Rd,,Catlett,22019,Fauquier County,LOCAL,2.00E+11,VA
3017098,NVRO,Catoctin Ironworks,18 Sycolin Rd SE,,Leesburg,22075,Loudoun County,COMMERCIAL,2.00E+11,VA
3024595,NVRO,CATOCTIN STUD FARM,13858 Loyalty Rd,,Waterford,22190,Loudoun County,FARM,2.00E+11,VA
3012001,NVRO,CEDAR LEE MIDDLE SCHOOL,11138 Marsh Rd,,Bealeton,22712,Fauquier County,LOCAL,2.00E+11,VA
3007086,NVRO,Cedar Mountain Stone Corporation,2660 Mount Pleasant Church Rd,,Louisa,23093,Louisa County,COMMERCIAL,2.00E+11,VA
3025177,NVRO,CEDAR RUN LIFT STATION #4,Rte 678,,Warrenton,20188,Fauquier County,LOCAL,2.00E+11,VA
3000834,NVRO,"CEDAR SHAKES & SHINGLES, INC",7901 Notes Dr,,Manassas,22110,Manassas City,COMMERCIAL,2.00E+11,VA
3025530,NVRO,CAVENDISH CONDOMINIUM,1200 S Arlington Ridge Rd,,Arlington,22202,Arlington County,RESIDENTIAL,2.00E+11,VA
3017269,NVRO,CENTRAL MOTOR CO,7238 Fullerton Rd,,Springfield,22150,Fairfax County,AUTO DEALER,2.00E+11,VA
3025339,NVRO,CENTRE RIDGE ELEMENTARY SCHOOL,14400 Braddock Rd,,Centreville,22020,Fairfax County,LOCAL,2.00E+11,VA
3019931,NVRO,Curtis C C,9549 Springs Rd,,Warrenton,20186,Fauquier County,UNKNOWN,2.00E+11,VA
3006745,NVRO,C C Curtis Incorporated,1390 Warrenton Rd,,Fredericksburg,22406,Stafford County,COMMERCIAL,2.00E+11,VA
